id_cliente,nome,idade,data_nascimento,cidade,estado,email,renda_mensal,quantidade_compras,valor_total_compras,cliente_ativo
1,Thiago Daniel Silva Nascimento,45,1980-12-26,Niterói,RJ,cliente00001@exemplo.com,3383.76,6,20300.98,Sim
2,Renata Mateus Santos Silva,52,1974-03-16,Rio de Janeiro,RJ,cliente00002@exemplo.com,4640.92,38,796.08,Sim
3,Vinícius Thiago Barbosa Ribeiro,46,1979-11-21,Fortaleza,CE,cliente00003@exemplo.com,9455.09,0,22764.22,Sim
4,Vinícius Mateus Carvalho Nascimento,49,1976-12-22,Rio de Janeiro,RJ,cliente00004@exemplo.com,14422.38,21,3066.31,Não
5,Daniel Lucas Gomes Moura,44,1981-11-12,Campinas,SP,cliente00005@exemplo.com,11351.38,34,3744.78,Não
6,Carlos Rafael Lima Moura,40,1986-03-23,Rio de Janeiro,RJ,cliente00006@exemplo.com,11011.72,2,19837.9,Não
7,Carlos Henrique Souza Martins,44,1982-06-21,Fortaleza,CE,cliente00007@exemplo.com,10081.74,23,4879.62,Não
8,Gabriela Vanessa Nascimento Oliveira,29,1997-04-29,Londrina,PR,cliente00008@exemplo.com,8710.89,15,4902.07,Não
9,Isabela Thiago Barbosa Almeida,25,2000-09-16,Porto Alegre,RS,cliente00009@exemplo.com,12878.5,49,1678.14,Sim
10,Juliana Mariana Nascimento Oliveira,47,1979-06-19,Porto Alegre,RS,cliente00010@exemplo.com,4370.46,31,11868.96,Não
11,Eduardo Isabela Pereira Almeida,23,2003-06-02,Belo Horizonte,MG,cliente00011@exemplo.com,11584.69,27,26934.69,Não
12,Lucas Henrique Pereira Mendes,34,1992-02-20,Santos,SP,cliente00012@exemplo.com,11703.06,7,4585.24,Sim
13,Vanessa Mateus Moura Oliveira,39,1987-04-06,Salvador,BA,cliente00013@exemplo.com,9544.49,29,15873.43,Sim
14,Vanessa William Souza Barbosa,22,2003-09-07,Belo Horizonte,MG,cliente00014@exemplo.com,11876.08,21,3346.57,Não
15,Fernanda Natalia Silva Nascimento,34,1992-06-15,Londrina,PR,cliente00015@exemplo.com,8353.7,6,26115.56,Não
16,Thiago Patrícia Moura Rodrigues,49,1976-11-09,Florianópolis,SC,cliente00016@exemplo.com,11793.9,34,28604.99,Sim
17,Sérgio Juliana Monteiro Silva,51,1975-01-07,Florianópolis,SC,cliente00017@exemplo.com,13362.75,19,7183.57,Sim
18,Renata Carlos Oliveira Monteiro,53,1973-02-07,Curitiba,PR,cliente00018@exemplo.com,3233.28,30,28405.46,Sim
19,Isabela Patrícia Moura Ribeiro,47,1979-07-03,Rio de Janeiro,RJ,cliente00019@exemplo.com,11124.81,25,29854.48,Não
20,Natalia Patrícia Alves Souza,45,1981-02-13,Niterói,RJ,cliente00020@exemplo.com,2364.35,1,17649.26,Sim
21,Renata Henrique Silva Oliveira,24,2001-10-02,Campinas,SP,cliente00021@exemplo.com,4590.71,2,25789.06,Sim
22,Patrícia Henrique Nascimento Monteiro,47,1979-08-12,Curitiba,PR,cliente00022@exemplo.com,11265.26,36,17286.35,Sim
23,Otávio Mateus Rodrigues Souza,52,1974-05-08,Recife,PE,cliente00023@exemplo.com,6283.02,26,14010.74,Sim
24,Vanessa Thiago Souza Santos,38,1988-01-23,Porto Alegre,RS,cliente00024@exemplo.com,12308.0,6,7459.69,Sim
25,Rafael Natalia Pereira Ribeiro,48,1978-03-26,Belo Horizonte,MG,cliente00025@exemplo.com,7745.48,4,13293.92,Sim
26,Bruno Thiago Barbosa Silva,52,1974-03-09,Niterói,RJ,cliente00026@exemplo.com,3745.2,31,14440.75,Não
27,Bruno Fernanda Martins Silva,39,1987-07-07,Belo Horizonte,MG,cliente00027@exemplo.com,14007.99,50,13650.25,Não
28,Vinícius William Barbosa Monteiro,49,1976-12-11,Rio de Janeiro,RJ,cliente00028@exemplo.com,5505.56,3,17375.41,Sim
29,William Juliana Santos Santos,30,1996-03-16,Brasília,DF,cliente00029@exemplo.com,8288.48,33,4722.98,Sim
30,Fernanda Carlos Moura Oliveira,26,2000-04-15,Niterói,RJ,cliente00030@exemplo.com,6950.97,36,7386.46,Sim
31,Sérgio Carlos Ribeiro Fernandes,31,1995-05-10,Porto Alegre,RS,cliente00031@exemplo.com,14118.53,13,20091.78,Não
32,Henrique Isabela Martins Pereira,26,2000-02-17,Uberlândia,MG,cliente00032@exemplo.com,7672.53,48,28072.03,Sim
